time,Ia,Ib,Ic,Va,Vb,Vc
0,0,0,0,0,0,0
1.09959253113155e-06,2.44100070629265e-07,-0.000612073355324777,0.000611829255254148,0.00133852972382254,-0.00267550042478371,0.00133697070096116
2.1991850622631e-06,7.3229455802697e-07,-0.00122425454691585,0.00122352225235783,0.00400036543802019,-0.0079946377112988,0.00399427227327861
3.29877759339464e-06,1.46457777792732e-06,-0.00183654349496715,0.00183507891718922,0.00796256708279815,-0.0159103876630703,0.00794782058027214
4.39837012452619e-06,2.36772069494168e-06,-0.00244890782587875,0.00244654010518381,0.0128234832945606,-0.0256202941317061,0.0127968108371455
6.40961761093457e-06,4.5952910677439e-06,-0.00356922755967852,0.00356463226861077,0.0246398628600268,-0.0492193299009139,0.0245794670408871
9.62949241210419e-06,9.82226633306623e-06,-0.00536351668905609,0.00535369442272302,0.0513873962078614,-0.102645736952441,0.05125834074458
1.45730186224511e-05,2.19003248754555e-05,-0.00812009789237584,0.00809819756750038,0.108333922203449,-0.216727921577786,0.108393999374337
1.84858643610612e-05,3.49507080725675e-05,-0.0103034866885284,0.0102685359804558,0.16428522306797,-0.329509859074229,0.165224636006259
2.23987100996714e-05,5.109359021796e-05,-0.0124882269106192,0.0124371333204012,0.225934524648369,-0.4553249432113,0.229390418562931
2.63115558382815e-05,7.0327506836628e-05,-0.0146743144815934,0.0146039869747568,0.289732305375147,-0.588527541138219,0.298795235763072
3.02244015768916e-05,9.26511383640367e-05,-0.0168617454387947,0.0167690943004307,0.352460235309063,-0.724709043040034,0.372248807730971
3.41372473155017e-05,0.000118063809335432,-0.0190505161231476,0.0189324523138122,0.411530831063833,-0.861262789278972,0.449731958215139
3.89697500241758e-05,0.000153712200251067,-0.0217555686613616,0.0216018564611106,0.476908708564113,-1.03017388139297,0.553265172828862
4.48150668556989e-05,0.000203126891844545,-0.0250302699071413,0.0248271430152968,0.544119884037529,-1.24126057373418,0.697140689696651
4.89843050386133e-05,0.000242583184870976,-0.0273677980020475,0.0271252148171766,0.584986698772529,-1.40183742278985,0.816850724017321
5.31535432215278e-05,0.000285545060477307,-0.0297068281256305,0.0294212830651532,0.622102086284332,-1.57833607317484,0.956233986890506
5.73227814044422e-05,0.000332012200713911,-0.0320473559678128,0.0317153437670989,0.658246090857164,-1.77733041326892,1.11908432241175
6.14920195873567e-05,0.000381984284784179,-0.0343893772393838,0.0340073929545996,0.696563920933072,-2.00441223026745,1.30784830933438
6.56612577702712e-05,0.000435460980987873,-0.0367328876250602,0.0362974266440724,0.740183151739928,-2.26333960723743,1.5231564554975
6.98304959531856e-05,0.000492441941904973,-0.0390778827860828,0.0385854408441778,0.791885907851798,-2.55547904578447,1.76359313793267
7.49231699951436e-05,0.000566797365462429,-0.0419442737072479,0.0413774763417854,0.86926761213117,-2.95501713774548,2.08574952561431
8.00158440371015e-05,0.000646379996637546,-0.044812865527239,0.0441664855306014,0.964249649853175,-3.39514798746206,2.43089833760889
8.51085180790594e-05,0.000731189072531125,-0.0476836503700156,0.0469524612974845,1.07768533648167,-3.86629798576694,2.78861264928527
9.02011921210174e-05,0.000821223778820956,-0.0505566203367525,0.0497353965579315,1.20906317537322,-4.35809990984044,3.14903673446722
9.52938661629753e-05,0.000916483263108897,-0.0534317675590788,0.0525152842959698,1.3568611822428,-4.86183076279342,3.50496958055062
0.000100386540204933,0.0010169666491935,-0.0563090841970427,0.0552921175478492,1.51899544182871,-5.37244184852231,3.8534464066936
0.000107154014546513,0.00115857711944978,-0.0601359905193317,0.0589774133998819,1.75242222907028,-6.06296364217659,4.31054141310631
0.000112378303712838,0.0012742032859244,-0.0630928486565859,0.0618186453706615,1.94439034517527,-6.61120917342089,4.66681882824562
0.000117602592879164,0.00139532379756395,-0.0660519621501108,0.0646566383525468,2.1441133610232,-7.18275064624644,5.03863728522323
0.00012282688204549,0.00152193776328306,-0.0690133224191348,0.0674913846558517,2.34969449021478,-7.78779112838931,5.43809663817452
0.000128051171211816,0.00165404432924292,-0.0719769209260143,0.0703228765967714,2.55930873874083,-8.43475100898465,5.87544227024382
0.000133275460378142,0.00179164266076122,-0.074942749113724,0.0731511064529627,2.7711249950951,-9.12806102481419,6.35693602971909
0.000138499749544467,0.00193473192572834,-0.0779107984127314,0.075976066487003,2.98337951929635,-9.86698544862215,6.8836059293258
0.000146687536399211,0.00217003321096599,-0.0825669293839551,0.080396896172989,3.31369030525059,-11.097977812095,7.78428750684446
0.000152345938034565,0.00234052308333875,-0.0857878408662868,0.083447317782948,3.54001284348258,-11.9888375633102,8.44882471982766
0.000158004339669918,0.00251745048509767,-0.0890113214618529,0.0864938709767551,3.76587468834021,-12.89693504799,9.1310603596498
0.000163662741305271,0.00270081410898561,-0.0922373602694716,0.0895365461604859,3.9945945706529,-13.8134061033507,9.81881153269776
0.000169321142940624,0.00289061258959034,-0.0954659465220277,0.0925753339324373,4.23133900152027,-14.735818770773,10.5044797692527
0.000174979544575977,0.00308684450343757,-0.0986970694221487,0.095610224918711,4.48246760159093,-15.6689555692988,11.1864879677079
