time,Ia,Ib,Ic,Va,Vb,Vc
0,0,0,0,0,0,0
1.09959253113155e-06,2.44100070629266e-07,-0.000612073355324777,0.000611829255254148,0.00133852972382254,-0.00267550042478371,0.00133697070096116
2.1991850622631e-06,7.32294558026971e-07,-0.00122425454691585,0.00122352225235783,0.00400036543802019,-0.0079946377112988,0.00399427227327862
3.29877759339464e-06,1.46457777792732e-06,-0.00183654349496715,0.00183507891718922,0.00796256708279815,-0.0159103876630703,0.00794782058027214
4.39837012452619e-06,2.36772069494168e-06,-0.00244890782587875,0.00244654010518381,0.0128234832945607,-0.0256202941317062,0.0127968108371455
6.40961761093457e-06,4.59529106774391e-06,-0.00356922755967852,0.00356463226861078,0.0246398628600268,-0.049219329900914,0.0245794670408872
9.6294924121042e-06,9.82226633306625e-06,-0.0053635166890561,0.00535369442272303,0.0513873962078615,-0.102645736952442,0.05125834074458
1.45730186224511e-05,2.19003248754556e-05,-0.00812009789237584,0.00809819756750039,0.108333922203449,-0.216727921577786,0.108393999374337
1.84858643610612e-05,3.49507080725675e-05,-0.0103034866885284,0.0102685359804558,0.16428522306797,-0.329509859074229,0.165224636006259
2.23987100996713e-05,5.10935902179599e-05,-0.0124882269106192,0.0124371333204012,0.225934524648369,-0.4553249432113,0.229390418562931
2.63115558382815e-05,7.03275068366278e-05,-0.0146743144815934,0.0146039869747568,0.289732305375147,-0.588527541138218,0.298795235763072
3.02244015768916e-05,9.26511383640365e-05,-0.0168617454387947,0.0167690943004307,0.352460235309062,-0.724709043040033,0.37224880773097
3.41372473155017e-05,0.000118063809335431,-0.0190505161231476,0.0189324523138122,0.411530831063832,-0.861262789278971,0.449731958215139
3.89697500241757e-05,0.000153712200251067,-0.0217555686613616,0.0216018564611105,0.476908708564113,-1.03017388139297,0.553265172828861
4.48150668556988e-05,0.000203126891844545,-0.0250302699071413,0.0248271430152968,0.544119884037529,-1.24126057373418,0.69714068969665
4.89843050386133e-05,0.000242583184870976,-0.0273677980020475,0.0271252148171766,0.584986698772528,-1.40183742278985,0.81685072401732
5.31535432215278e-05,0.000285545060477307,-0.0297068281256305,0.0294212830651532,0.622102086284332,-1.57833607317484,0.956233986890505
5.73227814044422e-05,0.000332012200713911,-0.0320473559678128,0.0317153437670989,0.658246090857164,-1.77733041326892,1.11908432241175
6.14920195873567e-05,0.000381984284784179,-0.0343893772393838,0.0340073929545996,0.696563920933072,-2.00441223026745,1.30784830933438
6.56612577702712e-05,0.000435460980987873,-0.0367328876250602,0.0362974266440724,0.740183151739927,-2.26333960723743,1.5231564554975
6.98304959531856e-05,0.000492441941904974,-0.0390778827860828,0.0385854408441778,0.791885907851798,-2.55547904578447,1.76359313793267
